Elements: All (Neon - Fermium)
Transitions: K edge, L1 edge, L2 edge, and L3 edge
Sorted by Element

Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
In		K edge	27949.69	0.44	27940.39	0.30	27940.72	0.69				13d
In		L1 edge	4246.17	0.99	4237.26	0.21	4238.30	0.27				1d
In		L2 edge	3947.38	0.39	3939.32	0.19	3938.71	0.59				1d
In		L3 edge	3739.91	0.33	3730.25	0.17	3730.84	0.48				1d
Sn		K edge	29209.79	0.47	29200.39	0.20	29200.92	0.92				13d
Sn		L1 edge	4473.20	0.99	4464.77	0.24	4465.02	0.11				1d
Sn		L2 edge	4165.49	0.39	4157.27	0.21	4156.23	0.78				1d
Sn		L3 edge	3938.45	0.33	3928.84	0.18	3929.51	0.87				1d
Sb		K edge	30501.27	0.49	30490.49	0.20	30491.99	0.91				13d
Sb		L1 edge	4707.3	1.0	4698.44	0.26	4699.15	0.12				1d
Sb		L2 edge	4390.54	0.40	4381.9	1.1	4381.22	0.79				1d
Sb		L3 edge	4142.58	0.33	4132.33	0.20	4132.99	0.91				1d
Te		K edge	31824.29	0.52	31811.5	1.2	31815.0	1.1				1d
Te		L1 edge	4948.5	1.0	4939.73	0.29	4939.65	0.99				1d
Te		L2 edge	4622.56	0.40	4612.61	0.25	4613.05	0.15				1d
Te		L3 edge	4352.20	0.34	4341.88	0.23	4342.35	0.53				1d
I		K edge	33179.46	0.54	33167.2	1.3	33169.69	0.89				1d
I		L1 edge	5197.2	1.0	5191.9	1.6	5188.38	0.81				1d
I		L2 edge	4861.84	0.38	4854.1	1.4	4852.01	0.59				1d
I		L3 edge	4567.52	0.32	4558.8	1.2	4557.12	0.54				1d
Xe		K edge	34566.5	2.6	34593	71	34565.13	0.33				1d
Xe		L1 edge	5453.7	1.3	5452.89	0.35	5452.57	0.17				1d
Xe		L2 edge	5108.10	0.37	5103.83	0.31	5106.72	0.20				1d
Xe		L3 edge	4788.22	0.32	4782.16	0.27	4786.47	0.17				1d
Cs		K edge	35991.92	0.62	35988.0	1.5	35985.6	6.1				1d
Cs		L1 edge	5721.4	1.0	5720.6	2.0	5719.8	7.6				1d
Cs		L2 edge	5367.05	0.39	5358.15	0.34	5359.2	4.0				1d
Cs		L3 edge	5019.87	0.32	5011.41	0.30	5012.98	0.33				1d
Ba		K edge	37450.23	0.63	37452.4	1.7	37440.00	0.34				1d
Ba		L1 edge	5997.7	1.0	5995.9	2.1	5990.4	4.5				1d
Ba		L2 edge	5633.67	0.39	5623.29	0.38	5623.32	0.32				1d
Ba		L3 edge	5257.36	0.32	5247.04	0.33	5246.71	0.22				1d
La		K edge	38939.45	0.67	38934.3	9.0	38929.3	4.2				1d
La		L1 edge	6279.0	1.0	6268.1	2.3	6271.17	0.90				1d
La		L2 edge	5905.22	0.39	5889.1	2.1	5895.10	0.29				1d
La		L3 edge	5497.83	0.32	5483.5	3.6	5487.05	0.49				1d
Ce		K edge	40446.57	0.71	40453.6	9.8	40444.7	1.7				1d
Ce		L1 edge	6550.4	1.1	6548.1	2.6	6548.9	2.5				1d
Ce		L2 edge	6167.01	0.39	6160.9	2.3	6165.80	0.44				1d
Ce		L3 edge	5726.47	0.32	5724.0	3.9	5724.5	1.0				1d
Pr		K edge	41994.11	0.75	42002	11	41988.76	0.78				1d
Pr		L1 edge	6836.8	1.1	6834.4	2.8	6832.0	1.2				1d
Pr		L2 edge	6443.60	0.39	6439.0	2.5	6437.2	1.2				1d
Pr		L3 edge	5967.84	0.33	5963.3	2.1	5962.35	0.62				1d
Nd		K edge	43575.27	0.79	43574	11	43571.90	0.60				1d
Nd		L1 edge	7130.2	1.1	7129.52	0.61	7129.47	0.72				1d
Nd		L2 edge	6727.09	0.40	6723.55	0.54	6724.63	0.59				1d
Nd		L3 edge	6213.90	0.33	6209.36	0.46	6211.15	0.60				1d
Pm		K edge	45189.77	0.87	45198	12						1d
Pm		L1 edge	7430.2	1.1	7435.7	3.3						1d
Pm		L2 edge	7017.09	0.44	7014.2	2.9						1d
Pm		L3 edge	6464.15	0.36	6460.44	0.50						1d
Sm		K edge	46839.02	0.91	46849	13	46837.7	1.5				1d
Sm		L1 edge	7737.9	1.2	7747.93	0.72	7739.29	0.58				1d
Sm		L2 edge	7314.76	0.44	7313.30	0.64	7314.92	0.57	7312.8	2.0		1d 21v
Sm		L3 edge	6719.67	0.37	6717.36	0.54	6718.8	1.5	6717.9	2.0		1d 21v
Eu		K edge	48523.77	0.96	48519.7	2.8	48517.01	0.63				1d
Eu		L1 edge	8053.7	1.2	8060.75	0.78	8047.53	0.88				1d
Eu		L2 edge	7620.28	0.45	7619.83	0.69	7614.32	0.98				1d
Eu		L3 edge	6980.47	0.37	6980.59	0.58	6974.53	0.63				1d
Gd		K edge	50251.67	0.97	50233.9	3.0	50243.4	1.1				1d
Gd		L1 edge	8385.9	1.2	8386.25	0.84	8381.7	1.4				1d
Gd		L2 edge	7942.02	0.41	7931.32	0.75	7934.3	1.1	7940.5	2.0		1d 21v
Gd		L3 edge	7254.88	0.33	7243.23	0.63	7246.66	0.90	7251.9	2.0		1d 21v
Tb		K edge	51999.5	1.1	52003.8	3.2	51996.4	2.6				1d
Tb		L1 edge	8708.1	1.2	8717.03	0.91	8713.8	6.0				1d
Tb		L2 edge	8253.93	0.46	8252.83	0.81	8254.9	4.4				1d
Tb		L3 edge	7516.62	0.39	7515.45	0.67	7513.2	2.0				1d
Dy		K edge	53792.3	1.1	53793.1	3.5	53786.2	2.5				1d
Dy		L1 edge	9048.0	1.2	9055.09	0.98	9046.1	2.7				1d
Dy		L2 edge	8583.26	0.42	8583.06	0.88	8580.2	1.2				1d
Dy		L3 edge	7792.90	0.34	7789.79	0.72	7786.0	1.6				1d
Ho		K edge	55620.8	1.1	55619.9	3.7	55614.6	1.2				1d
Ho		L1 edge	9395.2	1.2	9399.7	1.1	9395.8	2.0				1d
Ho		L2 edge	8919.77	0.42	8916.38	0.95	8913.9	1.7				1d
Ho		L3 edge	8073.31	0.34	8067.56	0.78	8071.1	1.8				1d
Er		K edge	57487.4	1.2	57485.2	2.0	57486.3	1.3				14d
Er		L1 edge	9750.6	1.3	9757.8	1.1	9751.4	1.1				1d
Er		L2 edge	9264.40	0.42	9262.1	1.0	9266.9	1.8	9263.9	2.0		1d 21v
Er		L3 edge	8358.66	0.34	8357.42	0.83	8359.4	1.5	8358.7	2.0		1d 21v
Tm		K edge	59391.1	1.3	59379	21	59389.0	1.3				1d
Tm		L1 edge	10114.4	1.3	10121.0	1.2	10111.9	2.3				1d
Tm		L2 edge	9617.34	0.43	9617.0	1.1	9615.5	2.0				1d
Tm		L3 edge	8648.97	0.34	8649.53	0.89	8648.1	1.6				1d
Yb		K edge	61333.3	1.3	61305	22	61330.8	6.8				1d
Yb		L1 edge	10486.8	1.4	10491.0	1.3	10483.5	5.4				1d
Yb		L2 edge	9978.70	0.44	9976.0	1.2	9971.46	0.56	9978.1	2.0		1d 21v
Yb		L3 edge	8944.26	0.35	8944.04	0.95	8946.6	6.5				1d
Lu		K edge	63322.7	1.4	63305	24	63315.52	0.64				1d
Lu		L1 edge	10877.2	1.4	10873.7	1.4	10871.7	2.1				1d
Lu		L2 edge	10357.43	0.44	10344.8	1.3	10349.66	0.52				1d
Lu		L3 edge	9253.24	0.35	9249.0	1.0	9245.28	0.64				1d
Hf		K edge	65352.0	1.4	65316	25	65350.36	0.98				1d
Hf		L1 edge	11277.2	1.4	11268.585	0.050	11270.3	2.5				13d
Hf		L2 edge	10745.60	0.45	10735.875	0.020	10734.9	9.8				13d
Hf		L3 edge	9567.88	0.36	9558.286	0.050	9558	11				13d
Ta		K edge	67431.9	1.5	67403.7	5.4	67411.24	0.79				1d
Ta		L1 edge	11696.9	1.4	11682.1	1.6	11679.8	3.3				1d
Ta		L2 edge	11153.23	0.46	11132.5	1.5	11132.9	1.4				1d
Ta		L3 edge	9898.04	0.36	9876.7	1.2	9878.7	2.7				1d
W		K edge	69533.0	1.6	69508.5	5.8	69524.8	2.5				1d
W		L1 edge	12106.9	1.4	12099.73	0.87	12102.4	4.1				1d
W		L2 edge	11551.16	0.47	11538.6	1.6	11540.8	4.1				1d
W		L3 edge	10214.26	0.36	10200.1	1.2	10200.9	8.3				1d
Re		K edge	71687.5	1.7	71657.8	6.1	71677.41	0.74				1d
Re		L1 edge	12537.5	1.4	12531.1	1.9	12527.8	2.7				1d
Re		L2 edge	11969.17	0.47	11954.7	1.7	11959.6	2.3				1d
Re		L3 edge	10546.35	0.36	10531.1	1.3	10536.3	2.5				1d
Os		K edge	73884.0	1.7	73856.2	6.5	73876.4	1.2				1d
Os		L1 edge	12978.4	1.5	12971.6	2.0	12971.3	5.0				1d
Os		L2 edge	12397.42	0.48	12380.9	1.8	12388.68	0.71				1d
Os		L3 edge	10884.14	0.37	10868.0	1.4	10875.6	2.2				1d
Ir		K edge	76117.5	1.8	76100.1	6.9	76112.38	0.60				1d
Ir		L1 edge	13423.3	1.5	13423.8	2.2	13419	18				1d
Ir		L2 edge	12829.38	0.50	12820.0	2.0	12824.8	2.4				1d
Ir		L3 edge	11221.01	0.38	11212.0	1.5	11216.7	2.2				1d
Pt		K edge	78404.2	1.9	78380.5	7.3	78398.7	2.3				1d
Pt		L1 edge	13888.7	1.4	13880.69	0.30	13879	21				13d
Pt		L2 edge	13281.67	0.51	13271.894	0.030	13275.2	3.8				13d
Pt		L3 edge	11573.11	0.38	11562.755	0.020	11565.7	3.8				13d
Au		K edge	80734.7	2.1	80721.3	3.9	80725.6	1.5				1d
Au		L1 edge	14362.2	1.6	14355.29	0.50	14352.9	7.5				13d
Au		L2 edge	13741.67	0.52	13734.194	0.070	13735.8	1.8				13d
Au		L3 edge	11927.78	0.39	11919.694	0.060	11920.6	3.0				13d
Hg		K edge	83111.3	2.1	83109.2	8.2	83104.5	3.2				1d
Hg		L1 edge	14850.8	1.5	14842.8	2.6	14840.2	7.6				1d
Hg		L2 edge	14216.92	0.53	14214.9	2.4	14212.2	4.3				1d
Hg		L3 edge	12292.28	0.39	12286.4	1.8	12285.5	3.7				1d
Tl		K edge	85538.2	2.2	85534.5	8.7	85530.1	1.3				1d
Tl		L1 edge	15353.1	1.5	15342.4	2.8	15345.6	2.9				1d
Tl		L2 edge	14705.47	0.56	14700.3	2.6	14698.6	1.3				1d
Tl		L3 edge	12664.38	0.40	12660.3	1.9	12657.5	3.3				1d
Pb		K edge	88012.8	2.3	88005.6	4.6	88004.72	0.69				1d
Pb		L1 edge	15867.7	1.5	15857.993	0.100	15860.5	4.8				13d
Pb		L2 edge	15206.12	0.56	15198.993	0.030	15198.7	3.4				13d
Pb		L3 edge	13042.60	0.40	13035.064	0.030	13035.4	3.0				13d
Bi	209	K edge	90536.5	2.4	90537.7	9.8	90528.59	0.96				1d
Bi	209	L1 edge	16395.4	1.6	16376.0	3.2	16389	12				1d
Bi	209	L2 edge	15719.65	0.57	15719.8	2.9	15712.1	1.8				1d
Bi	209	L3 edge	13427.59	0.41	13426.7	2.2	13420.1	1.6				1d
Po	209	K edge	93109.9	2.5			93107.2	4.0				
Po	209	L1 edge	16936.0	1.6			16911	31				
Po	209	L2 edge	16245.83	0.59			16244.2	2.8				
Po	209	L3 edge	13818.74	0.42			13813.6	1.3				
At	210	K edge	95733.5	2.7			95729	15				
At	210	L1 edge	17489.7	1.6								
At	210	L2 edge	16784.96	0.60			16784.7	3.0				
At	210	L3 edge	14216.04	0.45								
Rn	222	K edge	98408.1	2.8			98404	24				
Rn	222	L1 edge	18056.8	1.6								
Rn	222	L2 edge	17337.38	0.62			17337.7	3.2				
Rn	222	L3 edge	14619.53	0.43								
Fr	223	K edge	101141.2	3.0			101137	23				
Fr	223	L1 edge	18642.4	1.7								
Fr	223	L2 edge	17907.94	0.64			17906.4	3.4				
Fr	223	L3 edge	15033.78	0.44			15027	50				
Ra	226	K edge	103927.7	3.0			103920.5	5.4				
Ra	226	L1 edge	19242.3	1.7	19237.0	4.4	19237.5	4.6				1d
Ra	226	L2 edge	18492.61	0.67	18485.5	4.1	18483.8	3.3				1d
Ra	226	L3 edge	15454.32	0.45	15443.7	2.8	15444.59	0.84				1d
Ac	227	K edge	106768.2	3.2			106759	19				
Ac	227	L1 edge	19855.2	1.7								
Ac	227	L2 edge	19090.04	0.69			19083.4	3.8				
Ac	227	L3 edge	15879.45	0.46								
Th	232	K edge	109658.2	3.3	109649.01	1.00	109648.0	2.4				1,67d
Th	232	L1 edge	20481.6	1.7	20462.5	5.0	20470.0	3.6				1d
Th	232	L2 edge	19701.59	0.72	19682.9	4.6	19690.5	3.4				1d
Th	232	L3 edge	16310.27	0.47	16298.5	3.2	16300.0	2.1				1d
Pa	231	K edge	112601.7	3.5			112598.4	2.3				
Pa	231	L1 edge	21113.7	1.7			21100.3	4.2				
Pa	231	L2 edge	20318.12	0.73			20313.5	3.0				
Pa	231	L3 edge	16736.90	0.48			16732.9	2.2				
U	233	K edge	115609.8	3.6								
U	233	L1 edge	21766.1	1.8								
U	233	L2 edge	20954.72	0.77								
U	233	L3 edge	17174.23	0.49								
U	238	K edge	115608.1	3.6	115601.09	1.00	115596.17	0.68				1,67d
U	238	L1 edge	21766.1	1.8	21770.4	5.7	21756.0	1.5				1d
U	238	L2 edge	20954.95	0.77	20946.5	5.2	20945.7	2.3				1d
